220929, 과채류, 오이, 가시오이, 1, 0, 256.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220929, 과채류, 가지, 가지, 1, 0, 225.0
220929, 과실류, 복숭아, 장호원황도, 1, 0, 325.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 900.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 383.33334
220929, 엽경채류, 양배추, 양배추, 1, 0, 100.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
220929, 서류, 고구마, 기타, 1, 0, 259.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220929, 과실류, 자두, 추희, 1, 0, 360.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 746.6667
220929, 과실류, 단감, 송본, 1, 0, 170.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 960.0
220929, 수실류, 대추, 기타대추, 1, 0, 2450.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 30.0
220929, 엽경채류, 얼갈이배추, 알배기, 1, 0, 225.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 14.186047
220929, 과일과채류, 토마토, 토마토, 1, 0, 280.0
220929, 농림가공, 곡물제조, 두부, 0, 0, 108.333336
220929, 과채류, 호박, 풋호박, 1, 0, 160.0
220929, 버섯류, 새송이, 새송이, 1, 0, 375.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 720.0
220929, 양채류, 파세리(향미나리), 파세리, 1, 0, 400.0
220929, 과채류, 호박, 풋호박, 1, 0, 80.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 457.5
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 179.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 592.5
220929, 과채류, 오이, 백다다기, 1, 0, 200.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1340.0
220929, 양채류, 양상추, 샤니레타스, 1, 0, 166.66667
220929, 과채류, 오이, 취청, 1, 0, 275.0
220929, 엽경채류, 시금치, 시금치, 1, 0, 37.5
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1570.0
220929, 과일과채류, 수박, 수박, 1, 0, 85.71429
220929, 두류, 콩, 콩, 1, 0, 172.5
220929, 서류, 감자, 수미, 1, 0, 226.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 637.5
220929, 과채류, 호박, 애호박, 1, 0, 257.14285
220929, 과채류, 오이, 취청, 1, 0, 430.0
220929, 조미채소류, 대파, 대파, 1, 0, 17.777779
220929, 엽경채류, 부추, 일반부추, 1, 0, 258.33334
220929, 과실류, 단감, 송본, 1, 0, 300.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
220929, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 700.0
220929, 엽경채류, 근대, 근대, 1, 0, 150.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220929, 과실류, 감귤, 하우스감귤, 1, 0, 360.0
220929, 과채류, 호박, 풋호박, 1, 0, 138.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 383.33334
220929, 과채류, 오이, 가시오이, 1, 0, 311.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220929, 과실류, 복숭아, 황도, 1, 0, 100.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220929, 과실류, 포도, 거봉, 1, 0, 450.0
220929, 과채류, 가지, 가지, 1, 0, 100.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 43.103447
220929, 과실류, 단감, 송본, 1, 0, 320.0
220929, 조미채소류, 쪽파, 깐쪽파, 1, 0, 600.0
220929, 수실류, 밤, 기타밤, 1, 0, 230.0
220929, 수실류, 대추, 기타대추, 1, 0, 650.0
220929, 과실류, 자두, 추희, 1, 0, 520.0
220929, 과채류, 호박, 풋호박, 1, 0, 80.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 931.5789
220929, 과실류, 단감, 송본, 1, 0, 160.0
220929, 과일과채류, 참외, 기타참외, 1, 0, 310.0
220929, 과일과채류, 메론, 네트계, 1, 0, 225.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 720.0
220929, 과실류, 단감, 송본, 1, 0, 335.0
220929, 엽경채류, 상추, 청상추, 1, 0, 325.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220929, 엽경채류, 상추, 청상추, 1, 0, 325.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 840.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 350.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1300.0
220929, 서류, 고구마, 기타, 1, 0, 120.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 450.0
220929, 과채류, 오이, 백다다기, 1, 0, 187.5
220929, 과채류, 오이, 취청, 1, 0, 200.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 483.33334
220929, 엽경채류, 부추, 일반부추, 1, 0, 258.33334
220929, 수실류, 떫은감, 기타, 1, 0, 160.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 615.0
220929, 과실류, 포도, 거봉, 1, 0, 400.0
220929, 엽경채류, 부추, 일반부추, 1, 0, 258.33334
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 900.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 90.0
220929, 과일과채류, 수박, 수박, 1, 0, 100.0
220929, 과실류, 바나나, 바나나, 0, 0, 215.38461
220929, 과실류, 바나나, 바나나, 0, 0, 215.38461
220929, 과채류, 오이, 백다다기, 1, 0, 442.0
220929, 과일과채류, 수박, 수박, 1, 0, 107.14286
220929, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220929, 과일과채류, 수박, 수박, 1, 0, 100.0
220929, 엽경채류, 부추, 일반부추, 1, 0, 340.0
220929, 엽경채류, 양배추, 양배추, 1, 0, 46.0
220929, 엽경채류, 상추, 포기찹, 1, 0, 150.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 253.84616
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 400.0
220929, 과채류, 가지, 가지, 1, 0, 187.5
220929, 과실류, 자두, 추희, 1, 0, 520.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 500.0
220929, 엽경채류, 양배추, 양배추, 1, 0, 90.84507
220929, 과실류, 단감, 송본, 1, 0, 210.0
220929, 과실류, 포도, 거봉, 1, 0, 725.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 수실류, 대추, 대추, 1, 0, 500.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 233.33333
220929, 과실류, 자두, 추희, 1, 0, 640.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 165.0
220929, 수실류, 대추, 대추, 1, 0, 600.0
220929, 엽경채류, 상추, 청상추, 1, 0, 325.0
220929, 엽경채류, 상추, 기타상추, 1, 0, 410.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 350.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 600.0
220929, 과일과채류, 메론, 네트계, 1, 0, 287.5
220929, 근채류, 연근, 기타연근, 1, 0, 355.55554
220929, 과실류, 단감, 송본, 1, 0, 220.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 720.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220929, 양채류, 치커리, 치커리, 1, 0, 250.0
220929, 과실류, 바나나, 바나나, 0, 0, 115.38461
220929, 과실류, 바나나, 바나나, 0, 0, 115.38461
